Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
Apple MacBook Air (2022) Apple M2 Chip 13.6 Inch Liquid Retina Display Silver MacBook #MLY03LL/A / MLY03ZP/A,"187,710",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.6 Liquid Retina QHD 2560x1664 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1664 native resolution at 224 pixels per inch with support for 1 billion colors, 500 nits brightness, True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 304 x 214.9 x 11.2mm 1.24 kg Apple 13.6 inch MacBook Air (M2, Space Gray) 35W Dual USB Type-C Port Compact Power Adapter USB Type-C to MagSafe 3 Cable (6.6') "
Apple MacBook Pro (2022) Apple M2 13.3 Inch Retina Display Space Gray Laptop,"199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Space Gray) 67W USB Type-C Power Adapter "
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #MNEQ3LL/A / MNEQ3ZP/A,"199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology Not Applicable Not Applicable Not Applicable ",8GB 1 x 8GB Non-Removable Not Specified Not Specified None No 8GB No No ,512GB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Silver) 67W USB Type-C Power Adapter "
"Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Space Gray Laptop #MNEJ3LL/A, MNEJ3ZP/A","199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Specified ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Space Gray) 67W USB Type-C Power Adapter "
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Space Gray Laptop #Z16S4LL/A (CTO),"234,900",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel 500 nits brightness, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared None ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 15.6mm 1.4 Kg 13-inch MacBook Pro, USB-C Charge Cable (2 m), 67W USB-C Power Adapter "
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #Z16T0006K,"234,360",Apple Apple M2 Not Applicable Apple M2 Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Specified ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel Brightness: 500 nits, Pixels per inch (PPI): 227, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 15.6 x 304.1 x 212.4mm 1.4 Kg 1 x 13-inch MacBook Pro, 1 x 67W USB-C Power Adapter, 1 x USB-C Charge Cable (2 m) "
Apple MacBook Pro Late 2021 Apple M1 Pro 512GB SSD 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #MKGP3LL/A / MKGP3ZP/A / MKGP3PA/A / MKGP3X/A,"236,530",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Anti-Reflective Coating, Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode) 1000 cd/m2 (Sustained in HDR Mode) 1600 cd/m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion, No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 14-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 Kg MacBook Pro, 67W USB-C Power Adapter,USB-C to MagSafe 3 Cable (2 m) "
Apple MacBook Pro (Late 2021) Apple M1 Pro 512GB SSD 14.2 Inch Liquid Retina XDR Display Silver Laptop #MKGR3LL/A / MKGR3X/A,"236,530",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Anti-Reflective Coating, Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode) 1000 cd/m2 (Sustained in HDR Mode) 1600 cd/m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 14-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 313 x 221 x 16mm 1.6 Kg Apple 14.2 inch MacBook Pro with M1 Pro Chip (Late 2021, Space Gray) 67W USB-C Power Adapter USB-C to MagSafe 3 Cable (2 m) "
Apple MacBook Pro (Late 2021) Apple M1 Pro 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G001WC,"286,440",Apple Apple M1 Not Applicable Apple M1 Chip Not Specified Not Specified 10 Not Specified Not Applicable Not Specified ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Panel Type: Mini-LED LCD, Aspect Ratio: 16:10, Touchscreen: No, Finish: Glossy with Antireflective Coating, Maximum Brightness: 500 cd/ m2 (Sustained in SDR Mode) 1000 cd/ m2 (Sustained in HDR Mode) 1600 cd/ m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 14-core GPU Apple 14-core GPU Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",Aluminum No Space Gray 313 x 221 x 16mm 1.6 kg Not Specified 
Apple MacBook Pro (Late 2021) Apple M1 Pro 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G001VR,"297,290",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode), 1000 cd/m2 (Sustained in HDR Mode), 1600 cd/m2 (Peak in HDR Mode) No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified None No 16GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.69Kg 67W USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m) "
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z14V0015W,"301,630",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display 4K UHD 3456x2234 Glossy No 120 Hz Slim Bezel Aspect Ratio: 16:10, Contrast Ratio: 1,000,000:1, Glossy with Antireflective Coating No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,16-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",Aluminum No Space Gray 356 x 248 x 17mm 2.2 Kg 16-inch MacBook Pro  67W USB-C Power Adapter (M1 Pro with 8-core CPU) or 96W USB-C Power Adapter (M1 Pro with 10-core CPU or M1 Max)  USB-C to MagSafe 3 Cable (2 m) 
"Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 1TB SSD 14.2 Inch Liquid Retina XDR Display Silver Laptop #MKGT3LL/A, MKGT3ZP/A, MKGT3PA/A","308,140",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Anti-Reflective Coating, Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode) 1000 cd/m2 (Sustained in HDR Mode) 1600 cd/m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion Not Applicable Not Applicable Not Applicable ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,1TB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 313 x 221 x 16mm 1.6 Kg Apple 14.2 Inch MacBook Pro with M1 Pro Chip, 96W USB-C Power Adapter "
Apple MacBook Pro (Late 2021) Apple M1 Pro 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G001WY / Z15G0018N,"340,690",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Brightness: 500 cd/m2, Contrast Ratio: 1000000:1 No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 14-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 kg Apple 14.2 inch MacBook Pro with M1 Pro Chip (Late 2021, Space Gray) 67W USB-C Power Adapter USB-C to MagSafe 3 Cable (2 m) "
"Apple MacBook Air (2022) Apple M2 Chip 13.6 Inch Liquid Retina Display Midnight MacBook #Z1610005L, Z1610000E","341,780",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.6 Liquid Retina QHD 2560x1664 Glossy No 60 Hz Slim Bezel IPS technology, 500 nits brightness, True Tone technology Not Applicable Not Applicable Not Applicable ",24GB 1 x 24GB Non-Removable Not Specified Not Specified None No 24GB No No ,2TB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Midnight 304.1 x 215 x 11.3mm 1.24Kg 30W USB-C Power Adapter, 35W Dual USB-C Port Compact Power Adapter, USB-C to MagSafe 3 Cable "
Apple MacBook Pro (Late 2021) Apple M1 Pro (10-Core) Chip 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15H000PA / Z15G0018Q,"377,580",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Maximum Brightness: 1600 cd/m2 No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 Kg MacBook Pro, 96W USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m) "
Apple MacBook Pro (Late 2021) Apple M1 Max (10-Core) Chip 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G0018R,"398,200",Apple Apple M1 Not Applicable Apple M1 Max Chip Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Maximum Brightness: 1600 cd/m2 No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 24-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 Kg Apple 14.2 Inch MacBook Pro with M1 Max Chip, 96W USB-C Power Adapter "
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Silver Laptop #Z14Z00105,"404,710",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display 4K UHD 3456x2234 Glossy No 120 Hz Slim Bezel SDR brightness: 500 nits, XDR brightness: 1000 nits sustained full-screen, 1,000,000:1 contrast ratio No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 356 x 248 x 17mm 2.1 Kg Apple 16.2 inch MacBook Pro with M1 Pro Chip (Late 2021, Silver) 140W USB Type-C Power Adapter USB Type-C to MagSafe 3 Cable (6.6') "
Apple MacBook Pro (Late 2021) Apple M1 Max Chip 1TB SSD 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15H00107,"422,070",Apple Apple M1 Not Applicable Apple M1 Max Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Antireflective Coating, Contrast Ratio: 1,000,000:1 No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 32-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 Kg Apple 14.2 inch MacBook Pro with M1 Max Chip (Late 2021, Space Gray) 96W USB-C Power Adapter USB-C to MagSafe 3 Cable (2 m) "
"Apple MacBook Pro (Late 2021) Apple M1 Max 16.2 Inch Liquid Retina XDR Display Space Gray Laptop #MK1A3LL/A, MK1A3ZP/A","464,380",Apple Apple M1 Not Applicable Apple M1 Max Chip Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display 4K UHD 3456x2234 Glossy with Antireflective Coating No 120 Hz Slim Bezel Up to 1000 nits sustained (full-screen) brightness, 1600 nits peak brightness 1,000,000:1 contrast ratio No Secondary Screen No Secondary Screen No Secondary Screen ",32GB 1 x 32GB Non-Removable Not Specified Not Specified No No 32GB No No ,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 32-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 355.7 x 248.1 x 16.8mm 2.2 kg MacBook Pro, 140W USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m) "
"Apple MacBook Pro (Late 2021) Apple M1 Max Chip 4TB SSD Space Gray Laptop #MK233LL/A, Z14X000CS","667,280",Apple Apple M1 Not Applicable Apple M1 Max Chip Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display QHD 3456x2234 Glossy No 120 Hz Slim Bezel Aspect Ratio: 16:10, Contrast Ratio: 1,000,000:1, Glossy with Antireflective Coating No Secondary Screen No Secondary Screen No Secondary Screen ",64GB 1 x 64GB Non-Removable Not Specified Not Specified None No 64GB No No ,4TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 32-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 356 x 248 x 17mm 2.2 Kg 140W USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m) "
Acer Extensa 15 EX215-54-37AH Intel Core i3 1115G4 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.001,"52,080",Intel Core i3 11th (Intel) Core i3 1115G4 1.70 GHz 4.10 GHz 2 4 6MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel ComfyView screen technology, Aspect Ratio : 16:09, HDCP Supported: Yes No Secondary Screen No Secondary Screen No Secondary Screen ",4GB 1 x 4GB DDR4 3200 MHz 2 1 16GB No No ,1TB HDD SATA 5400 RPM No No SSD 1 Additional SSD Can be added ,Intel UHD Graphics Integrated Shared Not Applicable ,Free-Dos Not Specified Not Specified ,"Plastic No Charcoal Black 363.4 x 238.4 x 19.90mm 1.70Kg Extensa 15 EX215-54-37AH Notebook, Lithium Ion Battery, AC Adapter "
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 15.6 Inch FHD Charcoal Black Laptop #NX.EGJSI.00B,"53,170",Intel Core i3 11th (Intel) Core i3 1115G4 3.00 GHz 4.10 GHz 2 4 6MB Not Specified ,15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel In-plane Switching (IPS) Technology ComfyView No Secondary Screen No Secondary Screen No Secondary Screen ,4GB 1 x 4GB Removable DDR4 3200 MHz 1 No 16GB No No ,1TB HDD SATA Not Specified No No SSD 1 Additional SSD Can be added ,Intel UHD Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,"Plastic No Charcoal Black 363.4 x 238.4 x 19.90mm 1.90Kg Laptop, Power Adaptor, User Guide "
Acer Extensa 15 EX215-54-596B Intel Core i5 1135G7 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.002,"63,470",Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel Aspect Ratio: 16:9, HDCP Supported: Yes, ComfyView No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable DDR4 2666 MHz 1 1 16GB No No ,"1TB HDD SATA 5400 RPM No No SSD 1 Additional SSD Can be added, HDD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Applicable ,Free-Dos Not Specified Not Specified ,"Plastic No Charcoal Black 363.4 x 238.4 x 19.90mm 1.70 kg xtensa 15 EX215-54-596B Notebook, Lithium Ion Battery, AC Adapter "
